exchange,source,target,value
Great Basin,Riparian (past),Agricultural (present),1644258.096
Great Basin,Riparian (past),Conifer (present),595574.274
Great Basin,Riparian (past),Conifer-Hardwood (present),22349.406
Great Basin,Riparian (past),Developed (present),326020.32
Great Basin,Riparian (past),Exotics (present),431670.564
Great Basin,Riparian (past),Grassland (present),92629.722
Great Basin,Riparian (past),Hardwood (present),68859.96
Great Basin,Riparian (past),Riparian (present),846517.524
Great Basin,Riparian (past),Shrubland (present),837858.636
Great Basin,Shrubland (past),Agricultural (present),4837089.624
Great Basin,Shrubland (past),Conifer (present),8703906.936
Great Basin,Shrubland (past),Conifer-Hardwood (present),55313.298
Great Basin,Shrubland (past),Developed (present),1656759.582
Great Basin,Shrubland (past),Exotics (present),13281906.35
Great Basin,Shrubland (past),Grassland (present),2953779.708
Great Basin,Shrubland (past),Hardwood (present),244033.5
Great Basin,Shrubland (past),Riparian (present),1322944.842
Great Basin,Shrubland (past),Shrubland (present),69914681.33
Great Plains,Conifer (past),Agricultural (present),212005.338
Great Plains,Conifer (past),Conifer (present),4979429.142
Great Plains,Conifer (past),Conifer-Hardwood (present),19362.174
Great Plains,Conifer (past),Developed (present),241995.096
Great Plains,Conifer (past),Exotics (present),845273.88
Great Plains,Conifer (past),Grassland (present),1087932.756
Great Plains,Conifer (past),Hardwood (present),700558.074
Great Plains,Conifer (past),Riparian (present),110163.726
Great Plains,Conifer (past),Shrubland (present),4279864.962
Great Plains,Grassland (past),Agricultural (present),99486766.31
Great Plains,Grassland (past),Conifer (present),1305100.926
Great Plains,Grassland (past),Conifer-Hardwood (present),355056.588
Great Plains,Grassland (past),Developed (present),10819989.4
Great Plains,Grassland (past),Exotics (present),17781953.14
Great Plains,Grassland (past),Grassland (present),99423579.79
Great Plains,Grassland (past),Hardwood (present),1880136.204
Great Plains,Grassland (past),Riparian (present),4894236.198
Great Plains,Grassland (past),Shrubland (present),25451999.63
Great Plains,Hardwood (past),Agricultural (present),2542806.87
Great Plains,Hardwood (past),Conifer (present),92803.77
Great Plains,Hardwood (past),Conifer-Hardwood (present),499503.33
Great Plains,Hardwood (past),Developed (present),943022.256
Great Plains,Hardwood (past),Exotics (present),2706542.526
Great Plains,Hardwood (past),Grassland (present),2556250.302
Great Plains,Hardwood (past),Hardwood (present),3646462.11
Great Plains,Hardwood (past),Riparian (present),268681.716
Great Plains,Hardwood (past),Shrubland (present),4193259.21
Great Plains,Hardwood-Conifer (past),Agricultural (present),139.416
Great Plains,Hardwood-Conifer (past),Conifer (present),437878.572
Great Plains,Hardwood-Conifer (past),Conifer-Hardwood (present),2717.724
Great Plains,Hardwood-Conifer (past),Developed (present),12058.596
Great Plains,Hardwood-Conifer (past),Exotics (present),3885.888
Great Plains,Hardwood-Conifer (past),Grassland (present),39109.074
Great Plains,Hardwood-Conifer (past),Hardwood (present),73837.2
Great Plains,Hardwood-Conifer (past),Riparian (present),4227.102
Great Plains,Hardwood-Conifer (past),Shrubland (present),43473.372
Great Plains,Riparian (past),Agricultural (present),7887152.952
Great Plains,Riparian (past),Conifer (present),373243.494
Great Plains,Riparian (past),Conifer-Hardwood (present),93245.328
Great Plains,Riparian (past),Developed (present),962537.832
Great Plains,Riparian (past),Exotics (present),1907564.526
Great Plains,Riparian (past),Grassland (present),4299319.71
Great Plains,Riparian (past),Hardwood (present),451248.522
Great Plains,Riparian (past),Riparian (present),6018687.732
Great Plains,Riparian (past),Shrubland (present),1700332.188
Great Plains,Shrubland (past),Agricultural (present),4751236.008
Great Plains,Shrubland (past),Conifer (present),971522.616
Great Plains,Shrubland (past),Conifer-Hardwood (present),5429.676
Great Plains,Shrubland (past),Developed (present),1198347.342
Great Plains,Shrubland (past),Exotics (present),2136824.148
Great Plains,Shrubland (past),Grassland (present),12063573.91
Great Plains,Shrubland (past),Hardwood (present),218795.208
Great Plains,Shrubland (past),Riparian (present),1153704.918
Great Plains,Shrubland (past),Shrubland (present),13786192.9
Lake States,Conifer (past),Agricultural (present),994744.26
Lake States,Conifer (past),Conifer (present),3468531.108
Lake States,Conifer (past),Conifer-Hardwood (present),353682.63
Lake States,Conifer (past),Developed (present),847923.006
Lake States,Conifer (past),Exotics (present),352962.018
Lake States,Conifer (past),Grassland (present),113621.598
Lake States,Conifer (past),Hardwood (present),4668449.322
Lake States,Conifer (past),Riparian (present),1808712.588
Lake States,Conifer (past),Shrubland (present),36740.556
Lake States,Grassland (past),Agricultural (present),187816.218
Lake States,Grassland (past),Conifer (present),7185.696
Lake States,Grassland (past),Conifer-Hardwood (present),5407.476
Lake States,Grassland (past),Developed (present),64367.346
Lake States,Grassland (past),Exotics (present),16442.43
Lake States,Grassland (past),Grassland (present),2259.96
Lake States,Grassland (past),Hardwood (present),16899.306
Lake States,Grassland (past),Riparian (present),9348.864
Lake States,Grassland (past),Shrubland (present),53.058
Lake States,Hardwood (past),Agricultural (present),10058572.47
Lake States,Hardwood (past),Conifer (present),1885213.344
Lake States,Hardwood (past),Conifer-Hardwood (present),1356192.672
Lake States,Hardwood (past),Developed (present),4453750.68
Lake States,Hardwood (past),Exotics (present),505444.938
Lake States,Hardwood (past),Grassland (present),77810.334
Lake States,Hardwood (past),Hardwood (present),12586360.82
Lake States,Hardwood (past),Riparian (present),2032679.73
Lake States,Hardwood (past),Shrubland (present),20146.056
Lake States,Hardwood-Conifer (past),Agricultural (present),2119379.832
Lake States,Hardwood-Conifer (past),Conifer (present),2115747.912
Lake States,Hardwood-Conifer (past),Conifer-Hardwood (present),751114.578
Lake States,Hardwood-Conifer (past),Developed (present),1592564.064
Lake States,Hardwood-Conifer (past),Exotics (present),199715.418
Lake States,Hardwood-Conifer (past),Grassland (present),42972.318
Lake States,Hardwood-Conifer (past),Hardwood (present),4421758.704
Lake States,Hardwood-Conifer (past),Riparian (present),615457.704
Lake States,Hardwood-Conifer (past),Shrubland (present),14099.664
Lake States,Riparian (past),Agricultural (present),1686272.04
Lake States,Riparian (past),Conifer (present),1225189.14
Lake States,Riparian (past),Conifer-Hardwood (present),260222.406
Lake States,Riparian (past),Developed (present),1086142.326
Lake States,Riparian (past),Exotics (present),201625.506
Lake States,Riparian (past),Grassland (present),55765.512
Lake States,Riparian (past),Hardwood (present),1750628.73
Lake States,Riparian (past),Riparian (present),12703513.99
Lake States,Riparian (past),Shrubland (present),24410.454
Lake States,Savanna (past),Agricultural (present),1.554
Lake States,Savanna (past),Developed (present),7.992
Lake States,Savanna (past),Riparian (present),0.222
North Atlantic,Conifer (past),Agricultural (present),68845.086
North Atlantic,Conifer (past),Conifer (present),393433.95
North Atlantic,Conifer (past),Conifer-Hardwood (present),42532.314
North Atlantic,Conifer (past),Developed (present),382942.896
North Atlantic,Conifer (past),Exotics (present),19107.096
North Atlantic,Conifer (past),Grassland (present),6141.408
North Atlantic,Conifer (past),Hardwood (present),111617.382
North Atlantic,Conifer (past),Riparian (present),194391.858
North Atlantic,Conifer (past),Shrubland (present),1325.34
North Atlantic,Grassland (past),Agricultural (present),2310.132
North Atlantic,Grassland (past),Conifer (present),3869.682
North Atlantic,Grassland (past),Conifer-Hardwood (present),3410.142
North Atlantic,Grassland (past),Developed (present),11698.29
North Atlantic,Grassland (past),Exotics (present),732.6
North Atlantic,Grassland (past),Grassland (present),213.786
North Atlantic,Grassland (past),Hardwood (present),4683.978
North Atlantic,Grassland (past),Riparian (present),15032.73
North Atlantic,Grassland (past),Shrubland (present),62.826
North Atlantic,Hardwood (past),Agricultural (present),2802313.77
North Atlantic,Hardwood (past),Conifer (present),2074572.462
North Atlantic,Hardwood (past),Conifer-Hardwood (present),4346777.982
North Atlantic,Hardwood (past),Developed (present),5185440.48
North Atlantic,Hardwood (past),Exotics (present),293093.058
North Atlantic,Hardwood (past),Grassland (present),133974.558
North Atlantic,Hardwood (past),Hardwood (present),14286267.65
North Atlantic,Hardwood (past),Riparian (present),559243.53
North Atlantic,Hardwood (past),Shrubland (present),58147.35
North Atlantic,Hardwood-Conifer (past),Agricultural (present),1600649.748
North Atlantic,Hardwood-Conifer (past),Conifer (present),6062678.808
North Atlantic,Hardwood-Conifer (past),Conifer-Hardwood (present),6758880.354
North Atlantic,Hardwood-Conifer (past),Developed (present),3917128.506
North Atlantic,Hardwood-Conifer (past),Exotics (present),277679.598
North Atlantic,Hardwood-Conifer (past),Grassland (present),168850.314
North Atlantic,Hardwood-Conifer (past),Hardwood (present),9068682.684
North Atlantic,Hardwood-Conifer (past),Riparian (present),1272531.972
North Atlantic,Hardwood-Conifer (past),Shrubland (present),91748.826
North Atlantic,Riparian (past),Agricultural (present),689305.782
North Atlantic,Riparian (past),Conifer (present),1022431.434
North Atlantic,Riparian (past),Conifer-Hardwood (present),643207.038
North Atlantic,Riparian (past),Developed (present),1578885.312
North Atlantic,Riparian (past),Exotics (present),113666.664
North Atlantic,Riparian (past),Grassland (present),12971.904
North Atlantic,Riparian (past),Hardwood (present),1127875.662
North Atlantic,Riparian (past),Riparian (present),3088794.78
North Atlantic,Riparian (past),Shrubland (present),6291.702
North Atlantic,Savanna (past),Agricultural (present),2641.134
North Atlantic,Savanna (past),Conifer (present),147.852
North Atlantic,Savanna (past),Conifer-Hardwood (present),876.012
North Atlantic,Savanna (past),Developed (present),5754.018
North Atlantic,Savanna (past),Exotics (present),262.626
North Atlantic,Savanna (past),Grassland (present),0.666
North Atlantic,Savanna (past),Hardwood (present),970.14
North Atlantic,Savanna (past),Riparian (present),145.41
North Atlantic,Shrubland (past),Agricultural (present),71.262
North Atlantic,Shrubland (past),Conifer (present),20044.602
North Atlantic,Shrubland (past),Conifer-Hardwood (present),77114.142
North Atlantic,Shrubland (past),Developed (present),2268.618
North Atlantic,Shrubland (past),Exotics (present),1202.574
North Atlantic,Shrubland (past),Grassland (present),1678.542
North Atlantic,Shrubland (past),Hardwood (present),6526.8
North Atlantic,Shrubland (past),Riparian (present),1222.554
North Atlantic,Shrubland (past),Shrubland (present),10513.92
Northern Rockies,Conifer (past),Agricultural (present),615333.606
Northern Rockies,Conifer (past),Conifer (present),35853863.14
Northern Rockies,Conifer (past),Conifer-Hardwood (present),69900.03
Northern Rockies,Conifer (past),Developed (present),290493.66
Northern Rockies,Conifer (past),Exotics (present),232160.94
Northern Rockies,Conifer (past),Grassland (present),2874407.382
Northern Rockies,Conifer (past),Hardwood (present),347483.28
Northern Rockies,Conifer (past),Riparian (present),510986.28
Northern Rockies,Conifer (past),Shrubland (present),7703313.864
Northern Rockies,Grassland (past),Agricultural (present),2552418.36
Northern Rockies,Grassland (past),Conifer (present),603357.594
Northern Rockies,Grassland (past),Conifer-Hardwood (present),181.152
Northern Rockies,Grassland (past),Developed (present),335804.97
Northern Rockies,Grassland (past),Exotics (present),621457.254
Northern Rockies,Grassland (past),Grassland (present),4950440.826
Northern Rockies,Grassland (past),Hardwood (present),31888.302
Northern Rockies,Grassland (past),Riparian (present),102888.342
Northern Rockies,Grassland (past),Shrubland (present),3532069.506
Northern Rockies,Hardwood (past),Agricultural (present),39079.77
Northern Rockies,Hardwood (past),Conifer (present),611851.98
Northern Rockies,Hardwood (past),Conifer-Hardwood (present),67719.324
Northern Rockies,Hardwood (past),Developed (present),7929.84
Northern Rockies,Hardwood (past),Exotics (present),27907.842
Northern Rockies,Hardwood (past),Grassland (present),148958.448
Northern Rockies,Hardwood (past),Hardwood (present),337713.06
Northern Rockies,Hardwood (past),Riparian (present),26044.818
Northern Rockies,Hardwood (past),Shrubland (present),318673.23
Northern Rockies,Hardwood-Conifer (past),Agricultural (present),256.632
Northern Rockies,Hardwood-Conifer (past),Conifer (present),100930.302
Northern Rockies,Hardwood-Conifer (past),Conifer-Hardwood (present),47459.382
Northern Rockies,Hardwood-Conifer (past),Developed (present),357.642
Northern Rockies,Hardwood-Conifer (past),Exotics (present),1038.516
Northern Rockies,Hardwood-Conifer (past),Grassland (present),11445.432
Northern Rockies,Hardwood-Conifer (past),Hardwood (present),46388.454
Northern Rockies,Hardwood-Conifer (past),Riparian (present),193.14
Northern Rockies,Hardwood-Conifer (past),Shrubland (present),19346.856
Northern Rockies,Riparian (past),Agricultural (present),1925176.008
Northern Rockies,Riparian (past),Conifer (present),1477513.23
Northern Rockies,Riparian (past),Conifer-Hardwood (present),6086.574
Northern Rockies,Riparian (past),Developed (present),342683.862
Northern Rockies,Riparian (past),Exotics (present),267740.214
Northern Rockies,Riparian (past),Grassland (present),525268.428
Northern Rockies,Riparian (past),Hardwood (present),40082.1
Northern Rockies,Riparian (past),Riparian (present),2354953.8
Northern Rockies,Riparian (past),Shrubland (present),912762.99
Northern Rockies,Shrubland (past),Agricultural (present),2306810.214
Northern Rockies,Shrubland (past),Conifer (present),912094.548
Northern Rockies,Shrubland (past),Conifer-Hardwood (present),12895.314
Northern Rockies,Shrubland (past),Developed (present),529072.842
Northern Rockies,Shrubland (past),Exotics (present),1257063.012
Northern Rockies,Shrubland (past),Grassland (present),3053087.856
Northern Rockies,Shrubland (past),Hardwood (present),131481.942
Northern Rockies,Shrubland (past),Riparian (present),243047.82
Northern Rockies,Shrubland (past),Shrubland (present),17341882.76
Northwest,Conifer (past),Agricultural (present),1460769.99
Northwest,Conifer (past),Conifer (present),38638335.88
Northwest,Conifer (past),Conifer-Hardwood (present),391362.912
Northwest,Conifer (past),Developed (present),2766072.714
Northwest,Conifer (past),Exotics (present),612985.734
Northwest,Conifer (past),Grassland (present),1832346.264
Northwest,Conifer (past),Hardwood (present),2256187.998
Northwest,Conifer (past),Riparian (present),623238.582
Northwest,Conifer (past),Shrubland (present),2878450.668
Northwest,Grassland (past),Agricultural (present),5421440.466
Northwest,Grassland (past),Conifer (present),767738.604
Northwest,Grassland (past),Conifer-Hardwood (present),31.746
Northwest,Grassland (past),Developed (present),575540.106
Northwest,Grassland (past),Exotics (present),1605087.528
Northwest,Grassland (past),Grassland (present),2687671.416
Northwest,Grassland (past),Hardwood (present),1817.07
Northwest,Grassland (past),Riparian (present),116604.168
Northwest,Grassland (past),Shrubland (present),4509168.762
Northwest,Hardwood (past),Agricultural (present),1158446.838
Northwest,Hardwood (past),Conifer (present),630243.792
Northwest,Hardwood (past),Conifer-Hardwood (present),47365.698
Northwest,Hardwood (past),Developed (present),456161.826
Northwest,Hardwood (past),Exotics (present),92108.91
Northwest,Hardwood (past),Grassland (present),42962.328
Northwest,Hardwood (past),Hardwood (present),113528.136
Northwest,Hardwood (past),Riparian (present),62136.912
Northwest,Hardwood (past),Shrubland (present),112306.026
Northwest,Hardwood-Conifer (past),Agricultural (present),640.914
Northwest,Hardwood-Conifer (past),Conifer (present),90749.382
Northwest,Hardwood-Conifer (past),Conifer-Hardwood (present),2.442
Northwest,Hardwood-Conifer (past),Developed (present),176.712
Northwest,Hardwood-Conifer (past),Exotics (present),198.912
Northwest,Hardwood-Conifer (past),Grassland (present),3325.116
Northwest,Hardwood-Conifer (past),Hardwood (present),270.396
Northwest,Hardwood-Conifer (past),Riparian (present),120.324
Northwest,Hardwood-Conifer (past),Shrubland (present),5448.546
Northwest,Riparian (past),Agricultural (present),1284142.572
Northwest,Riparian (past),Conifer (present),1139174.574
Northwest,Riparian (past),Conifer-Hardwood (present),25548.204
Northwest,Riparian (past),Developed (present),604592.358
Northwest,Riparian (past),Exotics (present),107715.51
Northwest,Riparian (past),Grassland (present),93343.674
Northwest,Riparian (past),Hardwood (present),97345.446
Northwest,Riparian (past),Riparian (present),2148465.606
Northwest,Riparian (past),Shrubland (present),137089.218
Northwest,Shrubland (past),Agricultural (present),2242509.246
Northwest,Shrubland (past),Conifer (present),1139107.752
Northwest,Shrubland (past),Conifer-Hardwood (present),91.908
Northwest,Shrubland (past),Developed (present),441672.552
Northwest,Shrubland (past),Exotics (present),795043.272
Northwest,Shrubland (past),Grassland (present),1174912.356
Northwest,Shrubland (past),Hardwood (present),4098.342
Northwest,Shrubland (past),Riparian (present),181916.568
Northwest,Shrubland (past),Shrubland (present),4424037.756
Oak Woodlands,Conifer (past),Agricultural (present),323114.562
Oak Woodlands,Conifer (past),Conifer (present),275072.43
Oak Woodlands,Conifer (past),Conifer-Hardwood (present),136813.716
Oak Woodlands,Conifer (past),Developed (present),268674.168
Oak Woodlands,Conifer (past),Exotics (present),184075.518
Oak Woodlands,Conifer (past),Grassland (present),53142.582
Oak Woodlands,Conifer (past),Hardwood (present),2229438.33
Oak Woodlands,Conifer (past),Riparian (present),14592.282
Oak Woodlands,Conifer (past),Shrubland (present),44493.906
Oak Woodlands,Grassland (past),Agricultural (present),14000480.17
Oak Woodlands,Grassland (past),Conifer (present),55685.592
Oak Woodlands,Grassland (past),Conifer-Hardwood (present),313655.364
Oak Woodlands,Grassland (past),Developed (present),5225923.068
Oak Woodlands,Grassland (past),Exotics (present),3261683.94
Oak Woodlands,Grassland (past),Grassland (present),3548549.232
Oak Woodlands,Grassland (past),Hardwood (present),2267573.49
Oak Woodlands,Grassland (past),Riparian (present),441779.112
Oak Woodlands,Grassland (past),Shrubland (present),236265.054
Oak Woodlands,Hardwood (past),Agricultural (present),27265605.1
Oak Woodlands,Hardwood (past),Conifer (present),1298900.022
Oak Woodlands,Hardwood (past),Conifer-Hardwood (present),2578114.86
Oak Woodlands,Hardwood (past),Developed (present),11518486.87
Oak Woodlands,Hardwood (past),Exotics (present),4789050.822
Oak Woodlands,Hardwood (past),Grassland (present),2262380.91
Oak Woodlands,Hardwood (past),Hardwood (present),36348558.39
Oak Woodlands,Hardwood (past),Riparian (present),1368841.344
Oak Woodlands,Hardwood (past),Shrubland (present),663034.08
Oak Woodlands,Hardwood-Conifer (past),Agricultural (present),685677.636
Oak Woodlands,Hardwood-Conifer (past),Conifer (present),311525.718
Oak Woodlands,Hardwood-Conifer (past),Conifer-Hardwood (present),143787.624
Oak Woodlands,Hardwood-Conifer (past),Developed (present),251904.066
Oak Woodlands,Hardwood-Conifer (past),Exotics (present),119467.302
Oak Woodlands,Hardwood-Conifer (past),Grassland (present),22600.044
Oak Woodlands,Hardwood-Conifer (past),Hardwood (present),1128718.374
Oak Woodlands,Hardwood-Conifer (past),Riparian (present),28945.248
Oak Woodlands,Hardwood-Conifer (past),Shrubland (present),2383.614
Oak Woodlands,Riparian (past),Agricultural (present),12013477.61
Oak Woodlands,Riparian (past),Conifer (present),214391.616
Oak Woodlands,Riparian (past),Conifer-Hardwood (present),567587.4
Oak Woodlands,Riparian (past),Developed (present),2429902.776
Oak Woodlands,Riparian (past),Exotics (present),1166938.338
Oak Woodlands,Riparian (past),Grassland (present),240833.814
Oak Woodlands,Riparian (past),Hardwood (present),3333521.808
Oak Woodlands,Riparian (past),Riparian (present),4069255.56
Oak Woodlands,Riparian (past),Shrubland (present),38796.498
Oak Woodlands,Savanna (past),Agricultural (present),61612.77
Oak Woodlands,Savanna (past),Conifer (present),365.19
Oak Woodlands,Savanna (past),Conifer-Hardwood (present),28481.712
Oak Woodlands,Savanna (past),Developed (present),92972.712
Oak Woodlands,Savanna (past),Exotics (present),2031.522
Oak Woodlands,Savanna (past),Grassland (present),392.94
Oak Woodlands,Savanna (past),Hardwood (present),82602.426
Oak Woodlands,Savanna (past),Riparian (present),1677.21
Oak Woodlands,Savanna (past),Shrubland (present),26.196
Oak Woodlands,Shrubland (past),Agricultural (present),303762.6
Oak Woodlands,Shrubland (past),Conifer (present),19.092
Oak Woodlands,Shrubland (past),Conifer-Hardwood (present),412.698
Oak Woodlands,Shrubland (past),Developed (present),55886.502
Oak Woodlands,Shrubland (past),Exotics (present),147778.518
Oak Woodlands,Shrubland (past),Grassland (present),14533.23
Oak Woodlands,Shrubland (past),Hardwood (present),46658.184
Oak Woodlands,Shrubland (past),Riparian (present),8527.02
Oak Woodlands,Shrubland (past),Shrubland (present),35028.936
Southern,Conifer (past),Agricultural (present),10758247.87
Southern,Conifer (past),Conifer (present),17038409.42
Southern,Conifer (past),Conifer-Hardwood (present),3848764.938
Southern,Conifer (past),Developed (present),9436313.13
Southern,Conifer (past),Exotics (present),2032382.694
Southern,Conifer (past),Grassland (present),1251594.486
Southern,Conifer (past),Hardwood (present),2014284.366
Southern,Conifer (past),Riparian (present),1260998.184
Southern,Conifer (past),Shrubland (present),223125.984
Southern,Grassland (past),Agricultural (present),7069525.176
Southern,Grassland (past),Conifer (present),808989.534
Southern,Grassland (past),Conifer-Hardwood (present),443867.244
Southern,Grassland (past),Developed (present),2581483.71
Southern,Grassland (past),Exotics (present),796370.166
Southern,Grassland (past),Grassland (present),131946.588
Southern,Grassland (past),Hardwood (present),860283.522
